p,propLabel,eff
http://www.wikidata.org/prop/direct/P3218,identifiant Auñamendi,1
http://www.wikidata.org/prop/direct/P3360,identifiant de nomination de personnes au prix Nobel,1
http://www.wikidata.org/prop/direct/P3388,identifiant LittleSis d'une personne,1
http://www.wikidata.org/prop/direct/P3468,identifiant National Inventors Hall of Fame,1
http://www.wikidata.org/prop/direct/P3630,identifiant Babelio d'un auteur,1
http://www.wikidata.org/prop/direct/P3790,identifiant AnimeCons.com,1
http://www.wikidata.org/prop/direct/P3847,identifiant Open Library de sujet,1
http://www.wikidata.org/prop/direct/P3987,identifiant SHARE Catalogue,1
http://www.wikidata.org/prop/direct/P4026,numéro Cullum,1
http://www.wikidata.org/prop/direct/P4293,identifiant Pressemappe 20. Jahrhundert,1
http://www.wikidata.org/prop/direct/P4342,identifiant Store norske leksikon,1
http://www.wikidata.org/prop/direct/P4359,identifiant Gravsted.dk,1
http://www.wikidata.org/prop/direct/P4456,identifiant Internet Off-Broadway Database,1
http://www.wikidata.org/prop/direct/P4602,date d'enterrement ou de crémation,1
http://www.wikidata.org/prop/direct/P4638,identifiant The Peerage,1
http://www.wikidata.org/prop/direct/P4782,identifiant Movieplayer d'une personne,1
http://www.wikidata.org/prop/direct/P4891,identifiant Patrons de France,1
http://www.wikidata.org/prop/direct/P5007,identifiant Behind the voice Actors d'une personne,1
http://www.wikidata.org/prop/direct/P5008,projet Wikimédia s’intéressant à l'élément,1
http://www.wikidata.org/prop/direct/P5034,identifiant KRNLK,1
http://www.wikidata.org/prop/direct/P5033,identifiant Filmweb.pl d'une personne,1
http://www.wikidata.org/prop/direct/P5247,identifiant Giant Bomb,1
http://www.wikidata.org/prop/direct/P5254,identifiant Filmtv.it d'une personne,1
http://www.wikidata.org/prop/direct/P5340,identifiant American Film Institute d'une personne,1
http://www.wikidata.org/prop/direct/P5361,identifiant British National Bibliography,1
http://www.wikidata.org/prop/direct/P5375,identifiant Bibliothèque interuniversitaire de santé,1
http://www.wikidata.org/prop/direct/P5395,identifiant L'Encyclopédie canadienne,1
http://www.wikidata.org/prop/direct/P5508,identifiant archINFORM d'une personne ou d'un bureau,1
http://www.wikidata.org/prop/direct/P5534,identifiant Open Media Database d'une personne,1
http://www.wikidata.org/prop/direct/P6104,maintenu par le wikiprojet,1
http://www.wikidata.org/prop/direct/P6298,identifiant bgm.tv d'une personne,1
http://www.wikidata.org/prop/direct/P6404,identifiant Dizionario di Storia,1
http://www.wikidata.org/prop/direct/P6517,identifiant WhoSampled d'un artiste,1
http://www.wikidata.org/prop/direct/P6844,identifiant abART d'une personne,1
http://www.wikidata.org/prop/direct/P7012,identifiant Encyclopédie mondiale des Arts de la Marionnette,1
http://www.wikidata.org/prop/direct/P7153,lieu important,1
http://www.wikidata.org/prop/direct/P7300,identifiant MUBI pour une personne,1
http://www.wikidata.org/prop/direct/P7369,identifiant de la Bibliothèque nationale du Chili,1
http://www.wikidata.org/prop/direct/P7512,identifiant base de données startrek.com,1
http://www.wikidata.org/prop/direct/P7699,identifiant Lietuvos nacionalinė Martyno Mažvydo biblioteka,1
http://www.wikidata.org/prop/direct/P7696,identifiant Français libres,1
http://www.wikidata.org/prop/direct/P7745,identifiant Movie Walker Press d'une personne,1
http://www.wikidata.org/prop/direct/P7763,statut des droits d'auteur du créateur,1
http://www.wikidata.org/prop/direct/P7928,identifiant Biographisches Lexikon zur Geschichte Südosteuropas,1
http://www.wikidata.org/prop/direct/P7929,identifiant Roglo,1
http://www.wikidata.org/prop/direct/P8034,identifiant VcBA,1
http://www.wikidata.org/prop/direct/P8094,identifiant GeneaStar,1
http://www.wikidata.org/prop/direct/P8125,identifiant Fandango d'une personne,1
http://www.wikidata.org/prop/direct/P8172,identifiant Sejm-Wielki.pl,1
http://www.wikidata.org/prop/direct/P8238,identifiant Bibliography of the History of Slovakia,1
http://www.wikidata.org/prop/direct/P8341,identifiant Dansk Biografisk Leksikon,1
http://www.wikidata.org/prop/direct/P8603,identifiant Istrapedia,1
http://www.wikidata.org/prop/direct/P8750,identifiant Unione Romana Biblioteche Scientifiche,1
http://www.wikidata.org/prop/direct/P9037,identifiant Bibliografie dějin Českých zemí (UUID),1
http://www.wikidata.org/prop/direct/P9044,identifiant GEPRIS Historisch,1
http://www.wikidata.org/prop/direct/P9058,identifiant personnes décédées (matchID),1
http://www.wikidata.org/prop/direct/P8795,identifiant catalogue général Diamond,1
http://www.wikidata.org/prop/direct/P8849,identifiant CONOR.BG,1
http://www.wikidata.org/prop/direct/P9081,identifiant SEARCH on line catalogue,1
http://www.wikidata.org/prop/direct/P9097,identifiant American Academy in Rome,1
http://www.wikidata.org/prop/direct/P9164,identifiant Svenska Institutet i Rom,1
http://www.wikidata.org/prop/direct/P9163,identifiant Obrazi slovenskih pokrajin,1
http://www.wikidata.org/prop/direct/P9251,identifiant Cyprus University of Technology,1
http://www.wikidata.org/prop/direct/P9267,identifiant numérique Associazione Nazionale Partigiani d'Italia,1
http://www.wikidata.org/prop/direct/P9482,identifiant Catalogue des archives générales de l'État,1
http://www.wikidata.org/prop/direct/P9581,identifiant UNITER d'une personne,1
http://www.wikidata.org/prop/direct/P9600,histoire orale conservée par,1
http://www.wikidata.org/prop/direct/P9715,identifiant La Salle des Noms,1
http://www.wikidata.org/prop/direct/P9918,identifiant Kallías,1
http://www.wikidata.org/prop/direct/P9964,identifiant Kalliope-Verbund,1
http://www.wikidata.org/prop/direct/P9984,identifiant CANTIC,1
http://www.wikidata.org/prop/direct/P10141,identifiant Académie d'Athènes,1
http://www.wikidata.org/prop/direct/P10242,identifiant Lur Hiztegi Entziklopedikoa,1
http://www.wikidata.org/prop/direct/P10266,identifiant AdoroCinema d'une personne,1
http://www.wikidata.org/prop/direct/P10297,identifiant Google Arts & Culture d'une entité,1
http://www.wikidata.org/prop/direct/P10480,identifiant symogih.org,1
http://www.wikidata.org/prop/direct/P10553,identifiant Index Theologicus,1
http://www.wikidata.org/prop/direct/P10565,identifiant Encyclopédie de Chine (troisième édition),1
http://www.wikidata.org/prop/direct/P11155,identifiant Bibliothèque municipale de Tríkala,1
http://www.wikidata.org/prop/direct/P11152,identifiant web Léonore,1
http://www.wikidata.org/prop/direct/P11180,identifiant de notice d'autorité dans le catalogue de la Bibliothèque centrale de Volos (Grèce),1
http://www.wikidata.org/prop/direct/P11386,identifiant Listal,1
http://www.wikidata.org/prop/direct/P11449,identifiant TV Maze d'une personne,1
http://www.wikidata.org/prop/direct/P11686,identifiant Université de Barcelone,1
http://www.wikidata.org/prop/direct/P11683,identifiant Ivi.tv d'une personne,1
http://www.wikidata.org/prop/direct/P12003,identifiant Associazione Nazionale Partigiani d'Italia,1
http://www.wikidata.org/prop/direct/P12176,Propylaeum-VITAE ID,1
http://www.wikidata.org/prop/direct/P12627,identifiant d'une personne British Comedy Guide,1
http://www.wikidata.org/prop/direct/P13306,Oorlogsbronnen ID,1
